貸借対照表（投資信託受益証券）,,,,,,,,,,,,,,,,,,,,,,
科目分類,標準ラベル（日本語）,冗長ラベル（日本語）,用途別ラベル（日本語）,業種ラベル（日本語）,連結,四半期個別,四半期連結,中間個別,中間連結,標準ラベル（英語）,用途別ラベル（英語）,業種ラベル（英語）,名前空間プレフィックス,要素名,type,enumerations,substitutionGroup,periodType,balance,abstract,nillable,depth
A,信用売証券,信用売証券、流動負債、投資信託,,,,,,,,Sales securities for margin trading,,,jpfr-t-fnd,SalesSecuritiesForMarginTradingCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,売却借入有価証券,売却借入有価証券、流動負債、投資信託,,,,,,,,Sales of securities borrowed,,,jpfr-t-fnd,SalesOfSecuritiesBorrowedCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,売付債券,売付債券、流動負債、投資信託,,,,,,,,Bonds sold,,,jpfr-t-fnd,BondsSoldCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,コール・オプション（売）,コール・オプション（売）、流動負債、投資信託,,,,,,,,Call option,,,jpfr-t-fnd,CallOptionCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,プット・オプション（売）,プット・オプション（売）、流動負債、投資信託,,,,,,,,Put option,,,jpfr-t-fnd,PutOptionCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,派生商品評価勘定,派生商品評価勘定、流動負債、投資信託,,,,,,,,Derivative evaluation account,,,jpfr-t-fnd,DerivativeEvaluationAccountCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,現先取引勘定,現先取引勘定、流動負債、投資信託,,,,,,,,Gensaki transaction account,,,jpfr-t-fnd,GensakiTransactionAccountCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,短期借入金,短期借入金,,借入金[標準|業],,,,,,Short-term loans payable,,Short-term loans repayable[標準|業],jpfr-t-cte,ShortTermLoansPayable,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,前受金,前受金,,,,,,,,Advances received,,,jpfr-t-cte,AdvancesReceived,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,前受収益,前受収益,,,,,,,,Unearned revenue,,,jpfr-t-cte,UnearnedRevenue,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,未払金,未払金,,"未払金[標準|業]
未払金計[合計|業]",,,,,,Accounts payable-other,,"Accounts payable[標準|業]
Total accounts payable[合計|業]",jpfr-t-cte,AccountsPayableOther,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,未払株式払込金,未払株式払込金、流動負債、投資信託,,,,,,,,Unpaid stock subscription,,,jpfr-t-fnd,UnpaidStockSubscriptionCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,未払収益分配金,未払収益分配金、流動負債、投資信託,,,,,,,,Unpaid dividends,,,jpfr-t-fnd,UnpaidDividendsCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,未払解約金,未払解約金、流動負債、投資信託,,,,,,,,Redemption payable,,,jpfr-t-fnd,RedemptionPayableCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,未払受託者報酬,未払受託者報酬、流動負債、投資信託,,,,,,,,Trustee fee payable,,,jpfr-t-fnd,TrusteeFeePayableCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,未払委託者報酬,未払委託者報酬、流動負債、投資信託,,,,,,,,Investment trust management fee payable,,,jpfr-t-fnd,InvestmentTrustManagementFeePayableCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,未払利息,未払利息、流動負債、投資信託,,,,,,,,Accrued interest expenses,,,jpfr-t-fnd,AccruedInterestExpensesCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,受入担保金,受入担保金、流動負債、投資信託,,,,,,,,Cash collateral received,,,jpfr-t-fnd,CashCollateralReceivedCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,その他未払費用,その他未払費用、流動負債、投資信託,,,,,,,,Other accrued expenses,,,jpfr-t-fnd,OtherAccruedExpensesCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,想定元本受取資産見合,想定元本受取資産見合、流動負債、投資信託,,,,,,,,Corresponding account of notional principal receivable assets,,,jpfr-t-fnd,CorrespondingAccountOfNotionalPrincipalReceivableAssetsCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,想定元本支払負債,想定元本支払負債、流動負債、投資信託,,,,,,,,Notional principal payable liability,,,jpfr-t-fnd,NotionalPrincipalPayableLiabilityCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
